date,state,deaths_new,deaths_new_dod,deaths_bid,deaths_bid_dod
4/1/2021,Negeri Sembilan,0,0,0,0
4/1/2021,Pahang,1,0,0,0
4/1/2021,Perak,0,0,0,0
4/1/2021,Perlis,0,0,0,0
4/1/2021,Pulau Pinang,0,0,0,0
4/1/2021,Sabah,3,3,0,1
4/1/2021,Sarawak,0,0,0,0
4/1/2021,Selangor,1,6,0,0
4/1/2021,Terengganu,0,0,0,0
4/1/2021,W.P. Kuala Lumpur,0,0,0,0
4/1/2021,W.P. Labuan,0,0,0,0
4/1/2021,W.P. Putrajaya,0,0,0,0
5/1/2021,Johor,0,0,0,0
5/1/2021,Kedah,0,0,0,0
5/1/2021,Kelantan,0,0,0,0
5/1/2021,Melaka,0,0,0,0
5/1/2021,Negeri Sembilan,0,1,0,0
5/1/2021,Pahang,0,0,0,0
5/1/2021,Perak,1,0,0,0
5/1/2021,Perlis,0,0,0,0
5/1/2021,Pulau Pinang,0,0,0,0
5/1/2021,Sabah,6,1,0,1
5/1/2021,Sarawak,0,0,0,0
5/1/2021,Selangor,4,7,3,1
5/1/2021,Terengganu,0,0,0,0
5/1/2021,W.P. Kuala Lumpur,0,1,0,0
5/1/2021,W.P. Labuan,0,0,0,0
5/1/2021,W.P. Putrajaya,0,0,0,0
6/1/2021,Johor,0,3,0,0
6/1/2021,Kedah,0,1,0,1
6/1/2021,Kelantan,0,0,0,0
6/1/2021,Melaka,0,0,0,0
6/1/2021,Negeri Sembilan,0,0,0,0
6/1/2021,Pahang,0,0,0,0
6/1/2021,Perak,0,0,0,0
6/1/2021,Perlis,0,0,0,0
6/1/2021,Pulau Pinang,0,1,0,0
6/1/2021,Sabah,1,3,1,2
6/1/2021,Sarawak,0,0,0,0
6/1/2021,Selangor,0,8,0,0
6/1/2021,Terengganu,0,0,0,0
6/1/2021,W.P. Kuala Lumpur,0,1,0,0
6/1/2021,W.P. Labuan,0,0,0,0
6/1/2021,W.P. Putrajaya,0,0,0,0
7/1/2021,Johor,0,1,0,0
7/1/2021,Kedah,0,0,0,0
7/1/2021,Kelantan,0,0,0,0
7/1/2021,Melaka,0,0,0,0
7/1/2021,Negeri Sembilan,1,1,0,0
7/1/2021,Pahang,0,0,0,0
7/1/2021,Perak,0,0,0,0
7/1/2021,Perlis,0,0,0,0
7/1/2021,Pulau Pinang,1,0,0,0
7/1/2021,Sabah,1,1,1,1
7/1/2021,Sarawak,0,0,0,0
7/1/2021,Selangor,3,3,0,1
7/1/2021,Terengganu,0,0,0,0
7/1/2021,W.P. Kuala Lumpur,1,0,0,0
7/1/2021,W.P. Labuan,0,0,0,0
7/1/2021,W.P. Putrajaya,1,0,0,0
8/1/2021,Johor,3,0,0,0
8/1/2021,Kedah,0,0,0,0
8/1/2021,Kelantan,0,0,0,0
8/1/2021,Melaka,0,0,0,0
8/1/2021,Negeri Sembilan,0,0,0,0
8/1/2021,Pahang,0,3,0,0
8/1/2021,Perak,0,0,0,0
8/1/2021,Perlis,0,0,0,0
8/1/2021,Pulau Pinang,0,0,0,0
8/1/2021,Sabah,4,1,3,1
8/1/2021,Sarawak,0,0,0,0
8/1/2021,Selangor,9,7,0,0
8/1/2021,Terengganu,0,0,0,0
8/1/2021,W.P. Kuala Lumpur,0,0,0,0
8/1/2021,W.P. Labuan,0,0,0,0
8/1/2021,W.P. Putrajaya,0,1,0,0
9/1/2021,Johor,3,1,0,0
9/1/2021,Kedah,0,0,0,0
9/1/2021,Kelantan,0,0,0,0
9/1/2021,Melaka,0,0,0,0
9/1/2021,Negeri Sembilan,0,0,0,0
9/1/2021,Pahang,0,0,0,0
9/1/2021,Perak,0,0,0,0
9/1/2021,Perlis,0,0,0,0
9/1/2021,Pulau Pinang,0,0,0,0
9/1/2021,Sabah,0,1,0,1
9/1/2021,Sarawak,0,0,0,0
9/1/2021,Selangor,1,5,0,0
9/1/2021,Terengganu,0,0,0,0
9/1/2021,W.P. Kuala Lumpur,0,0,0,0
9/1/2021,W.P. Labuan,0,0,0,0
9/1/2021,W.P. Putrajaya,1,1,0,0
10/1/2021,Johor,0,1,0,0
10/1/2021,Kedah,0,0,0,0
10/1/2021,Kelantan,0,0,0,0
10/1/2021,Melaka,0,0,0,0
10/1/2021,Negeri Sembilan,0,0,0,0
10/1/2021,Pahang,0,0,0,0
10/1/2021,Perak,0,1,0,0
10/1/2021,Perlis,0,0,0,0
10/1/2021,Pulau Pinang,0,0,0,0
10/1/2021,Sabah,1,2,1,1
10/1/2021,Sarawak,0,0,0,0
10/1/2021,Selangor,5,7,0,2
10/1/2021,Terengganu,0,0,0,0
10/1/2021,W.P. Kuala Lumpur,3,1,0,0
10/1/2021,W.P. Labuan,0,0,0,0
10/1/2021,W.P. Putrajaya,0,0,0,0
11/1/2021,Johor,0,0,0,0
11/1/2021,Kedah,0,0,0,0
11/1/2021,Kelantan,0,0,0,0
11/1/2021,Melaka,0,0,0,0
11/1/2021,Negeri Sembilan,0,0,0,0
11/1/2021,Pahang,0,0,0,0
11/1/2021,Perak,0,0,0,0
11/1/2021,Perlis,0,0,0,0
11/1/2021,Pulau Pinang,0,0,0,0
11/1/2021,Sabah,1,1,1,1
11/1/2021,Sarawak,0,0,0,0
11/1/2021,Selangor,3,2,0,0
11/1/2021,Terengganu,0,0,0,0
11/1/2021,W.P. Kuala Lumpur,0,0,0,0
11/1/2021,W.P. Labuan,0,0,0,0
11/1/2021,W.P. Putrajaya,0,0,0,0
12/1/2021,Johor,0,3,0,1
12/1/2021,Kedah,0,0,0,0
12/1/2021,Kelantan,0,0,0,0
12/1/2021,Melaka,0,0,0,0
12/1/2021,Negeri Sembilan,0,0,0,0
12/1/2021,Pahang,0,0,0,0
12/1/2021,Perak,1,0,0,0
12/1/2021,Perlis,0,0,0,0
12/1/2021,Pulau Pinang,0,0,0,0
12/1/2021,Sabah,0,3,0,0
12/1/2021,Sarawak,0,0,0,0
12/1/2021,Selangor,3,1,0,0
12/1/2021,Terengganu,0,0,0,0
12/1/2021,W.P. Kuala Lumpur,0,3,0,0
12/1/2021,W.P. Labuan,0,0,0,0
12/1/2021,W.P. Putrajaya,0,0,0,0
13/1/2021,Johor,1,0,0,0
13/1/2021,Kedah,0,0,0,0
13/1/2021,Kelantan,0,0,0,0
13/1/2021,Melaka,0,1,0,1
13/1/2021,Negeri Sembilan,0,1,0,0
13/1/2021,Pahang,0,0,0,0
13/1/2021,Perak,0,1,0,0
13/1/2021,Perlis,0,0,0,0
13/1/2021,Pulau Pinang,0,0,0,0
13/1/2021,Sabah,3,2,2,1
13/1/2021,Sarawak,0,0,0,0
13/1/2021,Selangor,0,0,0,0
13/1/2021,Terengganu,0,0,0,0
13/1/2021,W.P. Kuala Lumpur,0,3,0,2
13/1/2021,W.P. Labuan,0,0,0,0
13/1/2021,W.P. Putrajaya,0,1,0,0
14/1/2021,Johor,2,0,0,0
14/1/2021,Kedah,0,1,0,0
14/1/2021,Kelantan,0,0,0,0
14/1/2021,Melaka,0,0,0,0
14/1/2021,Negeri Sembilan,1,0,0,0
14/1/2021,Pahang,0,1,0,0
14/1/2021,Perak,0,0,0,0
14/1/2021,Perlis,0,0,0,0
14/1/2021,Pulau Pinang,0,0,0,0
14/1/2021,Sabah,8,3,2,1
14/1/2021,Sarawak,0,1,0,0
14/1/2021,Selangor,3,6,0,1
14/1/2021,Terengganu,0,0,0,0
14/1/2021,W.P. Kuala Lumpur,0,1,0,1
14/1/2021,W.P. Labuan,0,0,0,0
14/1/2021,W.P. Putrajaya,1,0,0,0
15/1/2021,Johor,1,1,0,0
15/1/2021,Kedah,1,0,0,0
15/1/2021,Kelantan,0,0,0,0
15/1/2021,Melaka,0,0,0,0
15/1/2021,Negeri Sembilan,0,0,0,0
15/1/2021,Pahang,0,0,0,0
15/1/2021,Perak,0,0,0,0
15/1/2021,Perlis,0,0,0,0
15/1/2021,Pulau Pinang,0,0,0,0
15/1/2021,Sabah,2,2,0,1
15/1/2021,Sarawak,0,0,0,0
15/1/2021,Selangor,4,10,0,2
15/1/2021,Terengganu,0,0,0,0
15/1/2021,W.P. Kuala Lumpur,0,1,0,0
15/1/2021,W.P. Labuan,0,0,0,0
15/1/2021,W.P. Putrajaya,0,0,0,0
16/1/2021,Johor,0,4,0,0
16/1/2021,Kedah,0,1,0,0
16/1/2021,Kelantan,0,0,0,0
16/1/2021,Melaka,0,0,0,0
16/1/2021,Negeri Sembilan,0,1,0,0
16/1/2021,Pahang,1,0,0,0
16/1/2021,Perak,1,0,0,0
16/1/2021,Perlis,0,0,0,0
16/1/2021,Pulau Pinang,0,0,0,0
16/1/2021,Sabah,4,3,1,0
16/1/2021,Sarawak,0,0,0,0
16/1/2021,Selangor,1,5,0,2
16/1/2021,Terengganu,0,1,0,0
16/1/2021,W.P. Kuala Lumpur,1,0,0,0
16/1/2021,W.P. Labuan,0,0,0,0
16/1/2021,W.P. Putrajaya,0,0,0,0
17/1/2021,Johor,2,1,0,0
17/1/2021,Kedah,1,0,0,0
17/1/2021,Kelantan,0,0,0,0
17/1/2021,Melaka,0,0,0,0
17/1/2021,Negeri Sembilan,1,0,0,0
17/1/2021,Pahang,0,0,0,0
17/1/2021,Perak,0,0,0,0
17/1/2021,Perlis,0,0,0,0
17/1/2021,Pulau Pinang,0,0,0,0
17/1/2021,Sabah,0,1,0,1
17/1/2021,Sarawak,0,0,0,0
17/1/2021,Selangor,3,8,1,1
17/1/2021,Terengganu,0,0,0,0
17/1/2021,W.P. Kuala Lumpur,0,0,0,0
17/1/2021,W.P. Labuan,0,1,0,1
17/1/2021,W.P. Putrajaya,0,0,0,0
18/1/2021,Johor,0,3,0,0
18/1/2021,Kedah,0,1,0,0
18/1/2021,Kelantan,0,1,0,0
18/1/2021,Melaka,0,0,0,0
18/1/2021,Negeri Sembilan,0,0,0,0
18/1/2021,Pahang,0,0,0,0
18/1/2021,Perak,0,1,0,0
18/1/2021,Perlis,0,0,0,0
18/1/2021,Pulau Pinang,0,0,0,0
18/1/2021,Sabah,1,2,0,0
18/1/2021,Sarawak,0,1,0,0
18/1/2021,Selangor,2,5,0,1
18/1/2021,Terengganu,1,0,0,0
18/1/2021,W.P. Kuala Lumpur,0,2,0,0
18/1/2021,W.P. Labuan,0,0,0,0
18/1/2021,W.P. Putrajaya,0,0,0,0
19/1/2021,Johor,2,3,0,0
19/1/2021,Kedah,1,0,0,0
19/1/2021,Kelantan,1,0,0,0
19/1/2021,Melaka,0,1,0,0
19/1/2021,Negeri Sembilan,0,0,0,0
19/1/2021,Pahang,0,0,0,0
19/1/2021,Perak,1,0,0,0
19/1/2021,Perlis,0,0,0,0
19/1/2021,Pulau Pinang,0,0,0,0
19/1/2021,Sabah,0,1,0,0
19/1/2021,Sarawak,1,0,0,0
19/1/2021,Selangor,7,3,0,0
19/1/2021,Terengganu,0,0,0,0
19/1/2021,W.P. Kuala Lumpur,0,2,0,2
19/1/2021,W.P. Labuan,1,0,1,0
19/1/2021,W.P. Putrajaya,0,0,0,0
20/1/2021,Johor,3,3,0,0
20/1/2021,Kedah,0,0,0,0
20/1/2021,Kelantan,0,0,0,0
20/1/2021,Melaka,0,0,0,0
20/1/2021,Negeri Sembilan,0,1,0,0
20/1/2021,Pahang,0,1,0,1
20/1/2021,Perak,0,1,0,0
20/1/2021,Perlis,0,0,0,0
20/1/2021,Pulau Pinang,0,0,0,0
20/1/2021,Sabah,3,1,0,0
20/1/2021,Sarawak,1,2,0,1
20/1/2021,Selangor,4,5,1,1
20/1/2021,Terengganu,0,1,0,0
20/1/2021,W.P. Kuala Lumpur,0,5,0,2
20/1/2021,W.P. Labuan,0,0,0,0
20/1/2021,W.P. Putrajaya,0,0,0,0
21/1/2021,Johor,4,1,0,0
21/1/2021,Kedah,0,0,0,0
21/1/2021,Kelantan,0,0,0,0
21/1/2021,Melaka,0,1,0,0
21/1/2021,Negeri Sembilan,1,0,0,0
21/1/2021,Pahang,0,1,0,1
21/1/2021,Perak,1,0,0,0
21/1/2021,Perlis,0,0,0,0
21/1/2021,Pulau Pinang,0,1,0,0
21/1/2021,Sabah,2,3,2,2
21/1/2021,Sarawak,1,1,0,0
21/1/2021,Selangor,3,5,0,2
21/1/2021,Terengganu,0,0,0,0
21/1/2021,W.P. Kuala Lumpur,0,2,0,0
21/1/2021,W.P. Labuan,0,0,0,0
21/1/2021,W.P. Putrajaya,0,0,0,0
22/1/2021,Johor,1,3,0,0
22/1/2021,Kedah,0,0,0,0
22/1/2021,Kelantan,0,0,0,0
22/1/2021,Melaka,0,2,0,1
22/1/2021,Negeri Sembilan,0,1,0,0
22/1/2021,Pahang,0,0,0,0
22/1/2021,Perak,0,0,0,0
22/1/2021,Perlis,0,0,0,0
22/1/2021,Pulau Pinang,1,0,0,0
22/1/2021,Sabah,3,0,1,0
22/1/2021,Sarawak,2,1,0,0
22/1/2021,Selangor,8,7,3,2
22/1/2021,Terengganu,0,0,0,0
22/1/2021,W.P. Kuala Lumpur,3,2,0,0
22/1/2021,W.P. Labuan,0,0,0,0
22/1/2021,W.P. Putrajaya,0,0,0,0
23/1/2021,Johor,2,0,0,0
23/1/2021,Kedah,0,0,0,0
23/1/2021,Kelantan,0,0,0,0
23/1/2021,Melaka,1,0,0,0
23/1/2021,Negeri Sembilan,0,1,0,0
23/1/2021,Pahang,0,1,0,0
23/1/2021,Perak,0,1,0,0
23/1/2021,Perlis,0,0,0,0
23/1/2021,Pulau Pinang,0,0,0,0
23/1/2021,Sabah,0,2,0,1
23/1/2021,Sarawak,1,4,0,0
23/1/2021,Selangor,2,3,0,0
23/1/2021,Terengganu,0,1,0,0
23/1/2021,W.P. Kuala Lumpur,1,2,0,0
23/1/2021,W.P. Labuan,0,0,0,0
23/1/2021,W.P. Putrajaya,0,0,0,0
24/1/2021,Johor,2,0,0,0
24/1/2021,Kedah,0,0,0,0
24/1/2021,Kelantan,0,1,0,0
24/1/2021,Melaka,1,0,0,0
24/1/2021,Negeri Sembilan,0,2,0,0
24/1/2021,Pahang,0,0,0,0
24/1/2021,Perak,0,1,0,0
24/1/2021,Perlis,0,0,0,0
24/1/2021,Pulau Pinang,0,0,0,0
24/1/2021,Sabah,2,1,1,1
24/1/2021,Sarawak,3,0,1,0
24/1/2021,Selangor,1,4,0,0
24/1/2021,Terengganu,2,0,0,0
24/1/2021,W.P. Kuala Lumpur,0,2,0,0
24/1/2021,W.P. Labuan,0,0,0,0
24/1/2021,W.P. Putrajaya,0,0,0,0
25/1/2021,Johor,0,2,0,0
25/1/2021,Kedah,0,0,0,0
25/1/2021,Kelantan,1,0,0,0
25/1/2021,Melaka,0,0,0,0
25/1/2021,Negeri Sembilan,0,0,0,0
25/1/2021,Pahang,1,0,0,0
25/1/2021,Perak,1,1,0,1
25/1/2021,Perlis,0,0,0,0
25/1/2021,Pulau Pinang,0,0,0,0
25/1/2021,Sabah,3,1,3,1
25/1/2021,Sarawak,2,3,0,0
25/1/2021,Selangor,2,4,0,1
25/1/2021,Terengganu,0,0,0,0
25/1/2021,W.P. Kuala Lumpur,1,5,0,1
25/1/2021,W.P. Labuan,0,0,0,0
25/1/2021,W.P. Putrajaya,0,0,0,0
26/1/2021,Johor,1,0,0,0
26/1/2021,Kedah,0,1,0,0
26/1/2021,Kelantan,0,1,0,0
26/1/2021,Melaka,0,0,0,0
26/1/2021,Negeri Sembilan,0,0,0,0
26/1/2021,Pahang,0,0,0,0
26/1/2021,Perak,1,1,0,0
26/1/2021,Perlis,0,0,0,0
26/1/2021,Pulau Pinang,1,0,1,0
26/1/2021,Sabah,0,0,0,0
26/1/2021,Sarawak,3,1,0,0
26/1/2021,Selangor,1,11,0,1
26/1/2021,Terengganu,0,0,0,0
26/1/2021,W.P. Kuala Lumpur,4,5,1,1
26/1/2021,W.P. Labuan,0,0,0,0
26/1/2021,W.P. Putrajaya,0,0,0,0
27/1/2021,Johor,0,1,0,0
27/1/2021,Kedah,0,0,0,0
27/1/2021,Kelantan,0,1,0,0
27/1/2021,Melaka,0,0,0,0
27/1/2021,Negeri Sembilan,0,0,0,0
27/1/2021,Pahang,0,0,0,0
27/1/2021,Perak,1,0,0,0
27/1/2021,Perlis,0,0,0,0
27/1/2021,Pulau Pinang,0,0,0,0
27/1/2021,Sabah,1,3,0,1
27/1/2021,Sarawak,1,1,0,0
27/1/2021,Selangor,4,6,0,2
27/1/2021,Terengganu,0,0,0,0
27/1/2021,W.P. Kuala Lumpur,0,4,0,3
27/1/2021,W.P. Labuan,0,0,0,0
27/1/2021,W.P. Putrajaya,0,0,0,0
28/1/2021,Johor,0,0,0,0
28/1/2021,Kedah,1,0,0,0
28/1/2021,Kelantan,0,0,0,0
28/1/2021,Melaka,0,0,0,0
28/1/2021,Negeri Sembilan,0,0,0,0
28/1/2021,Pahang,0,0,0,0
28/1/2021,Perak,0,1,0,0
28/1/2021,Perlis,0,0,0,0
28/1/2021,Pulau Pinang,0,0,0,0
28/1/2021,Sabah,3,1,1,0
28/1/2021,Sarawak,1,0,0,0
28/1/2021,Selangor,4,8,1,0
28/1/2021,Terengganu,0,0,0,0
28/1/2021,W.P. Kuala Lumpur,1,1,0,0
28/1/2021,W.P. Labuan,0,1,0,0
28/1/2021,W.P. Putrajaya,0,0,0,0
29/1/2021,Johor,0,0,0,0
29/1/2021,Kedah,0,0,0,0
29/1/2021,Kelantan,1,0,0,0
29/1/2021,Melaka,1,2,0,0
29/1/2021,Negeri Sembilan,0,1,0,0
29/1/2021,Pahang,0,0,0,0
29/1/2021,Perak,1,1,1,0
29/1/2021,Perlis,0,0,0,0
29/1/2021,Pulau Pinang,0,0,0,0
29/1/2021,Sabah,2,2,1,0
29/1/2021,Sarawak,1,2,0,1
29/1/2021,Selangor,9,7,3,1
29/1/2021,Terengganu,0,1,0,0
29/1/2021,W.P. Kuala Lumpur,1,2,0,0
29/1/2021,W.P. Labuan,0,1,0,0
29/1/2021,W.P. Putrajaya,0,0,0,0
30/1/2021,Johor,1,1,0,0
30/1/2021,Kedah,0,0,0,0
30/1/2021,Kelantan,0,0,0,0
30/1/2021,Melaka,1,0,0,0
30/1/2021,Negeri Sembilan,0,1,0,0
30/1/2021,Pahang,0,0,0,0
30/1/2021,Perak,2,1,0,0
30/1/2021,Perlis,0,0,0,0
30/1/2021,Pulau Pinang,0,0,0,0
30/1/2021,Sabah,2,2,1,1
30/1/2021,Sarawak,1,0,0,0
30/1/2021,Selangor,4,7,2,0
30/1/2021,Terengganu,0,0,0,0
30/1/2021,W.P. Kuala Lumpur,0,1,0,1
30/1/2021,W.P. Labuan,2,0,0,0
30/1/2021,W.P. Putrajaya,0,0,0,0
31/1/2021,Johor,0,3,0,0
31/1/2021,Kedah,0,0,0,0
31/1/2021,Kelantan,0,0,0,0
31/1/2021,Melaka,0,1,0,0
31/1/2021,Negeri Sembilan,0,1,0,0
31/1/2021,Pahang,0,0,0,0
31/1/2021,Perak,0,1,0,1
31/1/2021,Perlis,0,0,0,0
31/1/2021,Pulau Pinang,0,0,0,0
31/1/2021,Sabah,0,1,0,1
31/1/2021,Sarawak,1,1,1,0
31/1/2021,Selangor,12,7,1,0
31/1/2021,Terengganu,0,0,0,0
31/1/2021,W.P. Kuala Lumpur,1,3,0,0
31/1/2021,W.P. Labuan,0,0,0,0
31/1/2021,W.P. Putrajaya,0,0,0,0
1/2/2021,Johor,1,0,0,0
1/2/2021,Kedah,0,1,0,0
1/2/2021,Kelantan,0,1,0,0
1/2/2021,Melaka,1,0,0,0
1/2/2021,Negeri Sembilan,3,0,0,0
1/2/2021,Pahang,0,0,0,0
1/2/2021,Perak,1,0,0,0
1/2/2021,Perlis,0,0,0,0
1/2/2021,Pulau Pinang,0,0,0,0
1/2/2021,Sabah,0,1,0,0
1/2/2021,Sarawak,1,1,0,1
1/2/2021,Selangor,1,5,0,0
1/2/2021,Terengganu,1,0,0,0
1/2/2021,W.P. Kuala Lumpur,0,4,0,1
1/2/2021,W.P. Labuan,1,1,0,0
1/2/2021,W.P. Putrajaya,0,1,0,0
2/2/2021,Johor,2,2,0,0
2/2/2021,Kedah,1,0,0,0
2/2/2021,Kelantan,0,0,0,0
2/2/2021,Melaka,0,0,0,0
2/2/2021,Negeri Sembilan,0,1,0,0
2/2/2021,Pahang,0,0,0,0
2/2/2021,Perak,0,1,0,0
2/2/2021,Perlis,0,0,0,0
2/2/2021,Pulau Pinang,0,0,0,0
2/2/2021,Sabah,4,3,0,1
2/2/2021,Sarawak,0,1,0,0
2/2/2021,Selangor,12,4,0,0
2/2/2021,Terengganu,0,0,0,0
2/2/2021,W.P. Kuala Lumpur,2,2,0,0
2/2/2021,W.P. Labuan,0,0,0,0
2/2/2021,W.P. Putrajaya,0,0,0,0
3/2/2021,Johor,1,1,0,0
3/2/2021,Kedah,0,0,0,0
3/2/2021,Kelantan,1,1,0,0
3/2/2021,Melaka,1,0,1,0
3/2/2021,Negeri Sembilan,3,0,0,0
3/2/2021,Pahang,0,0,0,0
3/2/2021,Perak,2,0,1,0
3/2/2021,Perlis,0,0,0,0
3/2/2021,Pulau Pinang,0,0,0,0
3/2/2021,Sabah,1,5,1,1
3/2/2021,Sarawak,3,2,1,0
3/2/2021,Selangor,5,8,0,1
3/2/2021,Terengganu,0,0,0,0
3/2/2021,W.P. Kuala Lumpur,1,3,0,1
3/2/2021,W.P. Labuan,0,0,0,0
3/2/2021,W.P. Putrajaya,0,0,0,0
4/2/2021,Johor,2,5,0,0
4/2/2021,Kedah,0,0,0,0
4/2/2021,Kelantan,1,1,0,0
4/2/2021,Melaka,1,2,0,0
4/2/2021,Negeri Sembilan,1,0,0,0
4/2/2021,Pahang,2,0,2,0
4/2/2021,Perak,0,1,0,0
4/2/2021,Perlis,0,0,0,0
4/2/2021,Pulau Pinang,0,0,0,0
4/2/2021,Sabah,3,5,0,2
4/2/2021,Sarawak,3,4,0,0
4/2/2021,Selangor,4,3,1,0
4/2/2021,Terengganu,0,0,0,0
4/2/2021,W.P. Kuala Lumpur,0,1,0,0
4/2/2021,W.P. Labuan,0,0,0,0
4/2/2021,W.P. Putrajaya,0,0,0,0
5/2/2021,Johor,0,1,0,0
5/2/2021,Kedah,0,0,0,0
5/2/2021,Kelantan,0,0,0,0
5/2/2021,Melaka,0,0,0,0
5/2/2021,Negeri Sembilan,0,0,0,0
5/2/2021,Pahang,0,0,0,0
5/2/2021,Perak,1,1,0,1
5/2/2021,Perlis,0,0,0,0
5/2/2021,Pulau Pinang,0,0,0,0
5/2/2021,Sabah,5,2,1,1
5/2/2021,Sarawak,3,1,0,0
5/2/2021,Selangor,3,3,0,0
5/2/2021,Terengganu,0,0,0,0
5/2/2021,W.P. Kuala Lumpur,7,0,1,0
5/2/2021,W.P. Labuan,0,0,0,0
5/2/2021,W.P. Putrajaya,0,0,0,0
6/2/2021,Johor,3,0,0,0
6/2/2021,Kedah,0,1,0,0
6/2/2021,Kelantan,1,0,0,0
6/2/2021,Melaka,2,0,0,0
6/2/2021,Negeri Sembilan,0,0,0,0
6/2/2021,Pahang,0,1,0,1
6/2/2021,Perak,0,1,0,0
6/2/2021,Perlis,0,0,0,0
6/2/2021,Pulau Pinang,0,2,0,0
6/2/2021,Sabah,3,2,2,0
6/2/2021,Sarawak,0,2,0,0
6/2/2021,Selangor,1,6,0,0
6/2/2021,Terengganu,0,0,0,0
6/2/2021,W.P. Kuala Lumpur,2,1,1,0
6/2/2021,W.P. Labuan,0,0,0,0
6/2/2021,W.P. Putrajaya,0,0,0,0
7/2/2021,Johor,1,3,0,0
7/2/2021,Kedah,1,1,0,0
7/2/2021,Kelantan,0,0,0,0
7/2/2021,Melaka,0,0,0,0
7/2/2021,Negeri Sembilan,0,0,0,0
7/2/2021,Pahang,0,1,0,0
7/2/2021,Perak,0,1,0,0
7/2/2021,Perlis,0,0,0,0
7/2/2021,Pulau Pinang,1,0,0,0
7/2/2021,Sabah,3,2,1,0
7/2/2021,Sarawak,2,1,0,0
7/2/2021,Selangor,4,2,1,0
7/2/2021,Terengganu,0,0,0,0
7/2/2021,W.P. Kuala Lumpur,3,1,1,0
7/2/2021,W.P. Labuan,0,0,0,0
7/2/2021,W.P. Putrajaya,0,0,0,0
8/2/2021,Johor,2,3,0,0
8/2/2021,Kedah,1,0,0,0
8/2/2021,Kelantan,1,0,0,0
8/2/2021,Melaka,1,0,1,0
8/2/2021,Negeri Sembilan,0,0,0,0
8/2/2021,Pahang,0,1,0,0
8/2/2021,Perak,2,0,1,0
8/2/2021,Perlis,0,0,0,0
8/2/2021,Pulau Pinang,1,0,0,0
8/2/2021,Sabah,3,7,2,3
8/2/2021,Sarawak,3,4,0,0
8/2/2021,Selangor,7,6,0,2
8/2/2021,Terengganu,0,0,0,0
8/2/2021,W.P. Kuala Lumpur,3,2,2,1
8/2/2021,W.P. Labuan,0,0,0,0
8/2/2021,W.P. Putrajaya,0,0,0,0
9/2/2021,Johor,2,3,0,0
9/2/2021,Kedah,0,0,0,0
9/2/2021,Kelantan,0,0,0,0
9/2/2021,Melaka,0,0,0,0
9/2/2021,Negeri Sembilan,0,1,0,0
9/2/2021,Pahang,0,0,0,0
9/2/2021,Perak,0,0,0,0
9/2/2021,Perlis,0,0,0,0
9/2/2021,Pulau Pinang,0,0,0,0
9/2/2021,Sabah,2,2,0,0
9/2/2021,Sarawak,2,0,0,0
9/2/2021,Selangor,6,7,0,0
9/2/2021,Terengganu,0,0,0,0
9/2/2021,W.P. Kuala Lumpur,1,0,0,0
